problem,solver,settings,runtime,found,cost_error,primal_error
CVXQP1_S,cvxopt,default,0.00535111699718982,True,0.0001625705772312358,3.0860846933489228e-09
CVXQP1_S,cvxopt,high_accuracy,0.004541539994534105,True,0.0001625705772312358,3.0860846933489228e-09
CVXQP1_S,ecos,default,0.0002796829940052703,False,,
CVXQP1_S,ecos,high_accuracy,0.00028284400468692183,False,,
CVXQP1_S,highs,default,0.0053018449998489,True,0.0001194267642858,2.664535259100376e-15
CVXQP1_S,highs,high_accuracy,0.0078001899964874,True,0.0001194267642858,2.664535259100376e-15
CVXQP1_S,osqp,default,0.005294011003570631,True,-0.08116623858950334,0.00030210257395989204
CVXQP1_S,osqp,high_accuracy,0.007974769003340043,True,0.00011961623022216372,6.682293607340739e-12
CVXQP1_S,proxqp,default,0.001848075000452809,True,6.886652045068331e-05,2.0874096226530803e-07
CVXQP1_S,proxqp,high_accuracy,0.0018121739994967356,True,0.00011942301898670848,1.5467779834743567e-11
CVXQP1_S,qpoases,default,0.0762912640002468,True,0.0001194221513287,9.681144774731365e-13
CVXQP1_S,qpoases,high_accuracy,0.1170631650002178,True,0.0001194221513287,9.681144774731365e-13
CVXQP1_S,qpswift,default,0.0026879850011027,True,0.000119048743727,1.3596375414426376e-10
CVXQP1_S,qpswift,high_accuracy,0.0024792510012048,True,0.0001194267279061,1.3863910020006642e-14
CVXQP1_S,quadprog,default,0.0009624559988878,False,,
CVXQP1_S,quadprog,high_accuracy,0.0009240189974661,False,,
CVXQP1_S,scs,default,0.004784830001881346,True,0.1209672177756147,6.920271111710008e-08
CVXQP1_S,scs,high_accuracy,0.008013383994693868,True,0.00011942680248466786,7.313594174718219e-15
CVXQP2_S,cvxopt,default,0.019723267992958426,True,1.2949412848684005e-06,8.911283932988567e-10
CVXQP2_S,cvxopt,high_accuracy,0.0033099629945354536,True,1.2949412848684005e-06,8.911283932988567e-10
CVXQP2_S,ecos,default,0.0017658799915807322,False,,
CVXQP2_S,ecos,high_accuracy,0.0003081030008615926,False,,
CVXQP2_S,highs,default,0.0091898020000371,True,-2.2749309209757484e-05,1.7763568394002505e-15
CVXQP2_S,highs,high_accuracy,0.0136855879973154,True,-2.2749309209757484e-05,1.7763568394002505e-15
CVXQP2_S,osqp,default,0.0026590839988784865,True,-0.0010389711314928718,9.320293778120048e-06
CVXQP2_S,osqp,high_accuracy,0.002317598002264276,True,-2.2748792616766877e-05,5.25694765496354e-12
CVXQP2_S,proxqp,default,0.001987663999898359,True,-0.00854374424670823,3.6838066597155716e-06
CVXQP2_S,proxqp,high_accuracy,0.0014025580021552742,True,-2.2882726625539362e-05,6.654346518253362e-11
CVXQP2_S,qpoases,default,0.0561536549994343,True,-2.275261522299843e-05,1.098676705169055e-12
CVXQP2_S,qpoases,high_accuracy,0.0958101109990821,True,-2.275261522299843e-05,1.098676705169055e-12
CVXQP2_S,qpswift,default,0.0023352600001089,True,-2.275706901855301e-05,4.507505479978136e-12
CVXQP2_S,qpswift,high_accuracy,0.0020149050033069,True,-2.2749390154785946e-05,6.483702463810914e-14
CVXQP2_S,quadprog,default,0.0008705699997335,False,,
CVXQP2_S,quadprog,high_accuracy,0.0009592659989721,False,,
CVXQP2_S,scs,default,0.008952226999099366,True,-0.3269951869651777,6.178704873580076e-05
CVXQP2_S,scs,high_accuracy,0.007113972998922691,True,-2.2749202798877377e-05,2.6645352591003757e-15
CVXQP3_S,cvxopt,default,0.0054326250101439655,True,0.0018361912079853937,1.2460343867815027e-10
CVXQP3_S,cvxopt,high_accuracy,0.005020411001169123,True,0.0018361912079853937,1.2460343867815027e-10
CVXQP3_S,ecos,default,0.00030783400870859623,False,,
CVXQP3_S,ecos,high_accuracy,0.0003098339948337525,False,,
CVXQP3_S,highs,default,0.0151572999998279,True,0.0002023099550569,1.7763568394002505e-15
CVXQP3_S,highs,high_accuracy,0.0101888429999235,True,0.0002023099550569,1.7763568394002505e-15
CVXQP3_S,osqp,default,0.0024331790045835078,True,-0.18423776753843413,0.0009428797238070497
CVXQP3_S,osqp,high_accuracy,0.0034908579982584342,True,0.00020230995505698957,6.956935028057387e-14
CVXQP3_S,proxqp,default,0.002381030994001776,True,-8.740053272049408e-05,1.049293832711129e-06
CVXQP3_S,proxqp,high_accuracy,0.002217815999756567,True,0.00020229787878633942,4.385770913106768e-11
CVXQP3_S,qpoases,default,0.1120512630004668,True,0.0002023045890382,1.2603251775544777e-12
CVXQP3_S,qpoases,high_accuracy,0.1473202399993169,True,0.0002023045890382,1.2603251775544777e-12
CVXQP3_S,qpswift,default,0.0027299590001348,True,0.0002023517427005,7.289369108320898e-11
CVXQP3_S,qpswift,high_accuracy,0.0031585280012222,True,0.0002023099641519,1.5987211554602254e-14
CVXQP3_S,quadprog,default,0.0009521140000288,False,,
CVXQP3_S,quadprog,high_accuracy,0.001220424004714,False,,
CVXQP3_S,scs,default,0.0033584689954295754,True,-0.06449375556985615,3.0445079197985447e-05
CVXQP3_S,scs,high_accuracy,0.005619668008876033,True,0.0002023100241785869,3.552713678800501e-15
DPKLO1,cvxopt,default,0.0017498900124337524,False,,
DPKLO1,cvxopt,high_accuracy,0.0014796589966863394,False,,
DPKLO1,ecos,default,0.0002725490048760548,False,,
DPKLO1,ecos,high_accuracy,0.00020843400852754712,False,,
DPKLO1,highs,default,0.0098381150000932,True,-2.885682581776905e-09,1.7763568394002505e-15
DPKLO1,highs,high_accuracy,0.0104979669995373,True,-2.885682581776905e-09,1.7763568394002505e-15
DPKLO1,osqp,default,0.0023611439974047244,True,-4.031975808782562e-09,4.517958807070954e-08
DPKLO1,osqp,high_accuracy,0.0026007919950643554,True,-2.8857333744802816e-09,1.4210854715202004e-13
DPKLO1,proxqp,default,0.0017829540011007339,True,-5.044550169308604e-06,6.421141373280648e-06
DPKLO1,proxqp,high_accuracy,0.0015186810051091015,True,-2.959276934610955e-09,2.0795276611806912e-10
DPKLO1,qpoases,default,0.1067099449992383,True,-2.890548467249232e-09,4.473577064345591e-11
DPKLO1,qpoases,high_accuracy,0.1487910129999363,True,-2.890548467249232e-09,4.473577064345591e-11
DPKLO1,qpswift,default,0.0396022029999585,False,,
DPKLO1,qpswift,high_accuracy,0.0450319369992939,False,,
DPKLO1,quadprog,default,0.0008269139998446,False,,
DPKLO1,quadprog,high_accuracy,0.000926131993765,False,,
DPKLO1,scs,default,0.0019373469986021519,True,-2.3315765984577297e-09,3.0047124965904004e-07
DPKLO1,scs,high_accuracy,0.0022164890106068924,True,-2.885727212742495e-09,3.552713678800501e-14
DUAL1,cvxopt,default,0.00337825900351163,True,2.8791791450988313e-09,0.0
DUAL1,cvxopt,high_accuracy,0.003423151996685192,True,2.8791791450988313e-09,0.0
DUAL1,ecos,default,0.007804935012245551,True,-2.374039645425263e-10,9.71445146547012e-14
DUAL1,ecos,high_accuracy,0.0077027049992466345,True,-2.374039645425263e-10,9.71445146547012e-14
DUAL1,highs,default,0.0641399650003222,True,-2.6653090151596004e-10,4.440892098500626e-16
DUAL1,highs,high_accuracy,0.0776452659993083,True,-2.6653090151596004e-10,4.440892098500626e-16
DUAL1,osqp,default,0.0025443690101383254,True,-4.653181741457596e-05,0.0002868403152335527
DUAL1,osqp,high_accuracy,0.006067760012228973,True,-3.2873079952588924e-10,4.963767049411411e-10
DUAL1,proxqp,default,0.000880307998158969,True,3.014803651099629e-07,7.086607898008232e-06
DUAL1,proxqp,high_accuracy,0.0007970779988681898,True,-2.7228574950299844e-10,4.671804107741098e-11
DUAL1,qpoases,default,0.0189099959989107,True,-2.6660337826278635e-10,4.604094883120524e-13
DUAL1,qpoases,high_accuracy,0.0187411040005827,True,-2.6660337826278635e-10,4.604094883120524e-13
DUAL1,qpswift,default,0.0022089989997766,True,1.0302223935054755e-09,2.220446049250313e-16
DUAL1,qpswift,high_accuracy,0.0025338109990116,True,-2.663345238795856e-10,1.1102230246251563e-16
DUAL1,quadprog,default,0.001371041999846,True,-2.6653112356056496e-10,3.108624468950439e-15
DUAL1,quadprog,high_accuracy,0.0012937139981659,True,-2.6653112356056496e-10,3.108624468950439e-15
DUAL1,scs,default,0.0020252760004950687,True,-9.51656997288941e-07,8.795098613955961e-06
DUAL1,scs,high_accuracy,0.002683247992536053,True,-2.663530299096273e-10,1.3663687584156017e-12
DUAL2,cvxopt,default,0.004216294997604564,True,1.7500391830127526e-09,1.1102230246251565e-16
DUAL2,cvxopt,high_accuracy,0.003500392005662434,True,1.7500391830127526e-09,1.1102230246251565e-16
DUAL2,ecos,default,0.009119731010287069,True,1.8908696136632486e-10,2.4424906541753444e-15
DUAL2,ecos,high_accuracy,0.008553480001864955,True,1.8908696136632486e-10,2.4424906541753444e-15
DUAL2,highs,default,0.1072443180000846,True,1.227219090238485e-10,1.1102230246251563e-16
DUAL2,highs,high_accuracy,0.1035660050038131,True,1.227219090238485e-10,1.1102230246251563e-16
DUAL2,osqp,default,0.002968431988847442,True,7.279008160110401e-10,3.3352772827781586e-07
