problem,solver,settings,runtime,found,cost_error,primal_error
AUG2D,cvxopt,default,4.393492617004085,False,,
AUG2D,cvxopt,high_accuracy,4.387482866004575,False,,
AUG2D,highs,default,0.0,False,,
AUG2D,highs,high_accuracy,0.0,False,,
AUG2D,osqp,default,0.06394581400672905,True,-1050.940667988034,0.000533233719169246
AUG2D,osqp,high_accuracy,0.11580292000144254,True,-0.04719008202664554,4.5764836364980965e-11
AUG2D,proxqp,default,18.469464095993317,True,-12.406541001750156,6.264696041813345e-06
AUG2D,proxqp,high_accuracy,30.290380110003753,True,-0.048411720199510455,6.63307853088213e-10
AUG2D,scs,default,0.09158859499439131,True,-1.1427879978436977,5.909889981836614e-07
AUG2D,scs,high_accuracy,1.1350722770002903,True,-0.047103264136239886,4.645173135031655e-12
AUG2DC,cvxopt,default,4.452647475991398,False,,
AUG2DC,cvxopt,high_accuracy,4.404061961002299,False,,
AUG2DC,highs,default,0.0,False,,
AUG2DC,highs,high_accuracy,0.0,False,,
AUG2DC,osqp,default,0.06262632200377993,True,-1585.8028513053432,0.0007435777267836841
AUG2DC,osqp,high_accuracy,0.10916425100003835,True,-0.03468832513317466,1.2384315795088696e-10
AUG2DC,proxqp,default,8.362487211998086,True,-16.223949211882427,7.5898566829213365e-06
AUG2DC,proxqp,high_accuracy,13.14973340999859,True,-0.03635110589675605,9.008479517902401e-10
AUG2DC,scs,default,0.08793239100486971,True,-1.7146706734783947,1.2726002136531633e-06
AUG2DC,scs,high_accuracy,148.61307748800027,True,-0.03442987916059792,4.303890577261882e-12
AUG2DCQP,cvxopt,default,4.423454047006089,False,,
AUG2DCQP,cvxopt,high_accuracy,4.389785673003644,False,,
AUG2DCQP,highs,default,1000.1411815500032,False,,
AUG2DCQP,highs,high_accuracy,999.6520075360004,False,,
AUG2DCQP,osqp,default,1.1549920630059205,True,595.1721248459071,0.0010164276526628713
AUG2DCQP,osqp,high_accuracy,1.458484579998185,True,-0.0604358771815896,1.1244338793403585e-12
AUG2DCQP,proxqp,default,44.1664681770053,True,-0.20403352938592434,4.726611542159273e-07
AUG2DCQP,proxqp,high_accuracy,46.57346917800896,True,-0.06069520954042673,5.610908893229031e-10
AUG2DCQP,scs,default,2.344584060992929,True,-52.3280034782365,0.0005633780443192016
AUG2DCQP,scs,high_accuracy,146.92923853899993,True,-0.06052706204354763,1.3145040611561853e-12
AUG2DQP,cvxopt,default,4.447462755997549,False,,
AUG2DQP,cvxopt,high_accuracy,4.627970301997266,False,,
AUG2DQP,highs,default,1000.1011011289957,False,,
AUG2DQP,highs,high_accuracy,1000.102124854,False,,
AUG2DQP,osqp,default,0.9537577190058073,True,-806.6481555523351,0.0053822859909417875
AUG2DQP,osqp,high_accuracy,1.4149992809980176,True,-0.07420128025114536,4.7482018317168695e-12
AUG2DQP,proxqp,default,84.33302312600426,True,-0.20566598698496819,4.4706731705713846e-07
AUG2DQP,proxqp,high_accuracy,86.33876767400943,True,-0.07458366453647614,5.206765351590931e-10
AUG2DQP,scs,default,2.7199210560065694,True,-4.773133120499551,0.00018422417014572965
AUG2DQP,scs,high_accuracy,145.9110285499919,True,-0.0744241438806057,5.022648963404208e-12
AUG3D,cvxopt,default,0.10051592599484138,False,,
AUG3D,cvxopt,high_accuracy,0.09952903700468596,False,,
AUG3D,highs,default,37.23289501099498,True,-4.207453912385972e-06,8.881784197001252e-16
AUG3D,highs,high_accuracy,37.953800925,True,-4.207453912385972e-06,8.881784197001252e-16
AUG3D,osqp,default,0.015026515000499785,True,0.05233572302063294,0.00024235397353367105
AUG3D,osqp,high_accuracy,0.022407023992855102,True,-4.207473693895736e-06,3.4638958368304884e-14
AUG3D,proxqp,default,0.022334930006763898,True,-2.5354213221362443e-05,3.925008795757634e-08
AUG3D,proxqp,high_accuracy,0.027267379002296366,True,-4.265640882294974e-06,1.095377122339869e-10
AUG3D,scs,default,0.015730879007605836,True,-1.5392702607641695e-05,1.6184442785949216e-08
AUG3D,scs,high_accuracy,0.020800750993657857,True,-4.2074705106642796e-06,2.5757174171303632e-14
AUG3DC,cvxopt,default,0.09443096599716228,False,,
AUG3DC,cvxopt,high_accuracy,0.09299945599923376,False,,
AUG3DC,highs,default,56.42404673499914,True,-1.311025243921904e-06,8.881784197001252e-16
AUG3DC,highs,high_accuracy,54.85940271600066,True,-1.311025243921904e-06,8.881784197001252e-16
AUG3DC,osqp,default,0.014816398004768416,True,0.053475580922167865,0.00022837057737556954
AUG3DC,osqp,high_accuracy,0.01971844700165093,True,-1.3110416148265358e-06,3.2529534621517087e-14
AUG3DC,proxqp,default,0.021263036993332207,True,-3.77113688045938e-05,5.6252028812764365e-08
AUG3DC,proxqp,high_accuracy,0.023011069992207922,True,-1.434236764907837e-06,1.899813639738568e-10
AUG3DC,scs,default,0.014677995990496129,True,-1.4909950095898239e-05,2.4114636398842038e-08
AUG3DC,scs,high_accuracy,0.020378638000693172,True,-1.3110393410897814e-06,2.4868995751603507e-14
AUG3DCQP,cvxopt,default,0.09832944099616725,False,,
AUG3DCQP,cvxopt,high_accuracy,0.0967177359998459,False,,
AUG3DCQP,highs,default,47.97260329800338,True,-3.4748878761092783e-06,3.4861002973229915e-14
AUG3DCQP,highs,high_accuracy,48.73394787600046,True,-3.4748878761092783e-06,3.4861002973229915e-14
AUG3DCQP,osqp,default,0.024840242011123337,True,-0.03351210631547019,0.00011048509330454458
AUG3DCQP,osqp,high_accuracy,0.0376941349968547,True,-3.479431256891985e-06,2.2137192079441093e-10
